label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
schist lithology in Horsetheif Creek Group	average  Density for schist in the Horsetheif Creek Group	2.9	0.12	7	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.76  g/cm3, max susceptibility is 3.04  g/cm3"	
schist lithology in Index Formation of Lardeau Group	average  Density for schist in the Index Formation of the Lardeau Group	2.79	0.1	20	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 20 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.65  g/cm3, max susceptibility is 3.02  g/cm3"	Index Formation
schist lithology in Index Formation of Lardeau Group	average  Magnetic_Susceptibility for schist in the Index Formation of the Lardeau Group	0.00111	0.0048	47	GF INSTRUMENTS SM-20	"average value and standard deviation from 47 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.03300  SI magnetic susceptibility"	Index Formation
schist lithology in Jowett Formation of Lardeau Group	average  Magnetic_Susceptibility for schist in the Jowett Formation of the Lardeau Group	0.00032	0.0006	25	GF INSTRUMENTS SM-20	"average value and standard deviation from 25 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.00317  SI magnetic susceptibility"	Jowett Formation
schist lithology in Jowett Formation of Lardeau Group	average  Density for schist in the Jowett Formation of the Lardeau Group	2.74	0.09	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.62  g/cm3, max susceptibility is 2.92  g/cm3"	Jowett Formation
schist lithology in Snowshoe Group	average  Magnetic_Susceptibility for schist in the Snowshoe Group	0.00015	0.00009	5	GF INSTRUMENTS SM-20	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00024  SI magnetic susceptibility"	
schist lithology in Snowshoe Group	average  Density for schist in the Snowshoe Group	2.66	0.07	6	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.58  g/cm3, max susceptibility is 2.76  g/cm3"	
schist lithology in Taltapin MM complex	average  Magnetic_Susceptibility for schist in the Taltapin MM complex	0.00734	0.01338	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.02740  SI magnetic susceptibility"	Taltapin MM complex
sedimentary_rock lithology in British Columbia	average magnetic susceptibility sedimentary_rock	0.00026	0.00046	17	GF INSTRUMENTS SM-20	"average value and standard deviation from 17 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.00195 SI magnetic susceptibility"	
sedimentary_rock lithology in British Columbia	average density of unaltered sedimentary_rock	2.57	0.41	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 1.67 g/cm3, max density is 3.28 g/cm3"	
serpentinite lithology in British Columbia	average magnetic susceptibility serpentinite	0.04292	0.03649	24	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 24 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00141 SI magnetic susceptibility, max susceptibility is 0.10400 SI magnetic susceptibility"	
serpentinite lithology in British Columbia	average magnetic susceptibility serpentinite	0.0217	0.01613	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00034 SI magnetic susceptibility, max susceptibility is 0.03931 SI magnetic susceptibility"	
serpentinite lithology in Sowchea Succ	average  Magnetic_Susceptibility for serpentinite in the Sowchea Succ	0.06018	0.03988	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.01540  SI magnetic susceptibility, max susceptibility is 0.09880  SI magnetic susceptibility"	Sowchea Succ
serpentinite lithology in Trembleur Ultramafite	average  Magnetic_Susceptibility for serpentinite in the Trembleur Ultramafite	0.03171	0.03549	12	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00141  SI magnetic susceptibility, max susceptibility is 0.10400  SI magnetic susceptibility"	Trembleur Ultramafite
shale lithology in Bowser Lake Group	average  Magnetic_Susceptibility for shale in the Bowser Lake Group	0.00024	0.00011	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.00043  SI magnetic susceptibility"	
shale lithology in British Columbia	average density of unaltered shale	2.69	0.06	12	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 12 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.58 g/cm3, max density is 2.82 g/cm3"	
shale lithology in British Columbia	average magnetic susceptibility shale	0.00739	0.03029	31	GF INSTRUMENTS SM-20	"average value and standard deviation from 31 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.16800 SI magnetic susceptibility"	
shale lithology in British Columbia	average magnetic susceptibility shale	0.00038	0.00092	32	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 32 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00003 SI magnetic susceptibility, max susceptibility is 0.00535 SI magnetic susceptibility"	
silt lithology in British Columbia	average magnetic susceptibility silt	0.00373	0.00212	7	GF INSTRUMENTS SM-20	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00030 SI magnetic susceptibility, max susceptibility is 0.00707 SI magnetic susceptibility"	
siltstone lithology in Bowser Lake Group	average  Magnetic_Susceptibility for siltstone in the Bowser Lake Group	0.00021	0.00007	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00014  SI magnetic susceptibility, max susceptibility is 0.00031  SI magnetic susceptibility"	
siltstone lithology in British Columbia	average magnetic susceptibility siltstone	0.00091	0.00517	124	GF INSTRUMENTS SM-20	"average value and standard deviation from 124 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.04420 SI magnetic susceptibility"	
siltstone lithology in British Columbia	average magnetic susceptibility siltstone	0.0011	0.00305	124	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 124 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.02200 SI magnetic susceptibility"	
siltstone lithology in British Columbia	average density of unaltered siltstone	2.63	0.13	125	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 125 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.19 g/cm3, max density is 3.41 g/cm3"	
siltstone lithology in British Columbia	average magnetic susceptibility siltstone	0.00633	0.0174	23	SAPPHIRE SI2B MS METER	"average value and standard deviation from 23 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008 SI magnetic susceptibility, max susceptibility is 0.08260 SI magnetic susceptibility"	
siltstone lithology in Hazelton Group	average  Magnetic_Susceptibility for siltstone in the Hazelton Group	0.0002	0.00006	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00015  SI magnetic susceptibility, max susceptibility is 0.00028  SI magnetic susceptibility"	
siltstone lithology in Hazelton Group	average  Magnetic_Susceptibility for siltstone in the Hazelton Group	0.0009	0.00098	8	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00020  SI magnetic susceptibility, max susceptibility is 0.00316  SI magnetic susceptibility"	
siltstone lithology in Inzana Lake Formation	average  Magnetic_Susceptibility for siltstone in the Inzana Lake Formation	0.00059	0.00037	15	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00025  SI magnetic susceptibility, max susceptibility is 0.00184  SI magnetic susceptibility"	Inzana Lake Formation
siltstone lithology in Naglico Formation	average  Magnetic_Susceptibility for siltstone in the Naglico Formation	0.00456	0.00975	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00009  SI magnetic susceptibility, max susceptibility is 0.02200  SI magnetic susceptibility"	Naglico Formation
siltstone lithology in Nicola Group	average  Density for siltstone in the Nicola Group	2.78	0.11	18	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 18 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.61  g/cm3, max susceptibility is 2.94  g/cm3"	
siltstone lithology in Nicola Group	average  Magnetic_Susceptibility for siltstone in the Nicola Group	0.00047	0.00087	18	GF INSTRUMENTS SM-20	"average value and standard deviation from 18 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.00378  SI magnetic susceptibility"	
siltstone lithology in Nicola Group	average  Magnetic_Susceptibility for siltstone in the Nicola Group	0.02203	0.04039	4	SAPPHIRE SI2B MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00078  SI magnetic susceptibility, max susceptibility is 0.08260  SI magnetic susceptibility"	
siltstone lithology in Nicola Group	average  Magnetic_Susceptibility for siltstone in the Nicola Group	0.00037	0.0003	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00015  SI magnetic susceptibility, max susceptibility is 0.00092  SI magnetic susceptibility"	
siltstone lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for siltstone in the Ootsa Lake Group	0.00837	0.00657	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00014  SI magnetic susceptibility, max susceptibility is 0.01740  SI magnetic susceptibility"	
siltstone lithology in Silverquick/Powell Creek	average  Magnetic_Susceptibility for siltstone in the Silverquick/Powell Creek	0.00056	0.00034	8	SAPPHIRE SI2B MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00022  SI magnetic susceptibility, max susceptibility is 0.00128  SI magnetic susceptibility"	Silverquick/Powell Creek
siltstone lithology in Sowchea Succ	average  Magnetic_Susceptibility for siltstone in the Sowchea Succ	0.00183	0.004	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.01000  SI magnetic susceptibility"	Sowchea Succ
siltstone lithology in Tezzeron Seq	average  Magnetic_Susceptibility for siltstone in the Tezzeron Seq	0.00038	0.00036	23	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 23 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.00189  SI magnetic susceptibility"	Tezzeron Seq
skarn lithology in British Columbia	average magnetic susceptibility skarn	0.12357	0.21341	3	GF INSTRUMENTS SM-20	"average value and standard deviation from 3 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00031 SI magnetic susceptibility, max susceptibility is 0.37000 SI magnetic susceptibility"	
skarn lithology in British Columbia	average density of unaltered skarn	3.05	0.23	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.84 g/cm3, max density is 3.35 g/cm3"	
skarn lithology in British Columbia	average magnetic susceptibility skarn	0.06057	0.12938	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00025 SI magnetic susceptibility, max susceptibility is 0.29200 SI magnetic susceptibility"	
slate lithology in British Columbia	average magnetic susceptibility slate	0.00042	0.00067	50	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 50 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.00408 SI magnetic susceptibility"	
slate lithology in Rubyrock Igneous complex	average  Magnetic_Susceptibility for slate in the Rubyrock Igneous complex	0.00044	0.0004	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007  SI magnetic susceptibility, max susceptibility is 0.00112  SI magnetic susceptibility"	Rubyrock Igneous complex
slate lithology in Sowchea Succ	average  Magnetic_Susceptibility for slate in the Sowchea Succ	0.00045	0.00075	38	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 38 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.00408  SI magnetic susceptibility"	Sowchea Succ
syenitic_rock lithology in British Columbia	average density of unaltered syenitic_rock	2.7	0.13	11	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.57 g/cm3, max density is 2.98 g/cm3"	
syenitic_rock lithology in British Columbia	average magnetic susceptibility syenitic_rock	0.01171	0.02209	22	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 22 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008 SI magnetic susceptibility, max susceptibility is 0.08730 SI magnetic susceptibility"	
syenitic_rock lithology in British Columbia	average magnetic susceptibility syenitic_rock	0.00834	0.01226	30	GF INSTRUMENTS SM-20	"average value and standard deviation from 30 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00014 SI magnetic susceptibility, max susceptibility is 0.06665 SI magnetic susceptibility"	
syenitic_rock lithology in British Columbia	average magnetic susceptibility syenitic_rock	0.00467	0.00984	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007 SI magnetic susceptibility, max susceptibility is 0.02470 SI magnetic susceptibility"	
syenitic_rock lithology in SternCk Phs	average  Magnetic_Susceptibility for syenitic_rock in the Stern Ck Phs	0.0007	0.00052	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00017  SI magnetic susceptibility, max susceptibility is 0.00141  SI magnetic susceptibility"	Stern Ck Phs
tonalite lithology in British Columbia	average magnetic susceptibility tonalite	0.00737	0.00435	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00208 SI magnetic susceptibility, max susceptibility is 0.01230 SI magnetic susceptibility"	
tonalite lithology in British Columbia	average magnetic susceptibility tonalite	0.00946	0.01036	45	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 45 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006 SI magnetic susceptibility, max susceptibility is 0.03830 SI magnetic susceptibility"	
tonalite lithology in British Columbia	average magnetic susceptibility tonalite	0.04367	0.03284	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.01990 SI magnetic susceptibility, max susceptibility is 0.10800 SI magnetic susceptibility"	
tonalite lithology in British Columbia	average density of unaltered tonalite	2.73	0.03	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.68 g/cm3, max density is 2.78 g/cm3"	
tonalite lithology in Mcknab Phs	average  Magnetic_Susceptibility for tonalite in the Mcknab Phs	0.01406	0.01125	19	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 19 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00012  SI magnetic susceptibility, max susceptibility is 0.03810  SI magnetic susceptibility"	Mcknab Phs
tonalite lithology in Pinkut Phs	average  Magnetic_Susceptibility for tonalite in the Pinkut Phs	0.00081	0.00064	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00023  SI magnetic susceptibility, max susceptibility is 0.00173  SI magnetic susceptibility"	Pinkut Phs
tonalite lithology in Takomkane Batholith	average  Magnetic_Susceptibility for tonalite in the Takomkane Batholith	0.04842	0.03433	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.02210  SI magnetic susceptibility, max susceptibility is 0.10800  SI magnetic susceptibility"	Takomkane Batholith
tonalite lithology in Takomkane Batholith	average  Density for tonalite in the Takomkane Batholith	2.73	0.04	7	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.68  g/cm3, max susceptibility is 2.78  g/cm3"	Takomkane Batholith
trachytoid lithology in British Columbia	average magnetic susceptibility trachytoid	0.01768	0.01604	3	SAPPHIRE SI2B MS METER	"average value and standard deviation from 3 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00013 SI magnetic susceptibility, max susceptibility is 0.03160 SI magnetic susceptibility"	
trachytoid lithology in British Columbia	average magnetic susceptibility trachytoid	0.00507	0.00534	7	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00029 SI magnetic susceptibility, max susceptibility is 0.01390 SI magnetic susceptibility"	
trachytoid lithology in Kasalka Group	average  Magnetic_Susceptibility for trachytoid in the Kasalka Group	0.00323	0.00489	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00029  SI magnetic susceptibility, max susceptibility is 0.01050  SI magnetic susceptibility"	
